,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f04_stimulus_6,f04_stimulus_7,f04_stimulus_8,f04_stimulus_9,f04_stimulus_10,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5,f05_stimulus_6,f05_stimulus_7,f05_stimulus_8,f05_stimulus_9,f05_stimulus_10
0.3755,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.71897963,18.31081633,-1.68918367,-0.98081632,-0.98081632,19.42734698,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,17.87897958,-2.12102042,17.94938776,-2.05061224,-2.05061224,38.76571426,-2.05061224,17.94938776,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,19.94265309,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.94265309
0.3765,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,17.87897958,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.94265309,-0.46551021,-0.46551021
0.3775,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.71897963,-0.98081632,-0.98081632,19.42734698,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,17.87897958,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.3785,-1.68918367,-1.68918367,18.71897963,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,19.42734698,-0.98081632,-0.98081632,-2.12102042,18.28714288,38.69530608,-2.12102042,-2.12102042,17.87897958,17.87897958,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,18.35755106,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.53448979,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.3795,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.31081633,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,18.28714288,17.87897958,-2.12102042,-2.12102042,-2.12102042,17.87897958,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,40.35081629,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.94265309
0.3805,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.31081633,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,19.42734698,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,37.87897958,18.28714288,18.28714288,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,18.35755106,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,18.35755106,-0.46551021,-0.46551021,-0.46551021,19.94265309,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.3815,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.31081633,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,19.42734698,-0.98081632,19.42734698,-2.12102042,18.28714288,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,18.35755106,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,18.35755106,-0.46551021,19.94265309,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.94265309,-0.46551021,-0.46551021
0.3825,-1.68918367,18.71897963,18.71897963,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,39.12714283,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,18.28714288,18.28714288,-2.12102042,-2.12102042,-2.12102042,17.87897958,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,18.35755106,38.76571426,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,18.35755106,-0.46551021,-0.46551021,-0.46551021,19.94265309,-0.46551021,-0.46551021,-0.46551021,19.94265309,-0.46551021,-0.46551021
0.3835,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.31081633,18.71897963,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,17.87897958,18.28714288,18.28714288,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,18.35755106,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.3845,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.71897963,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,18.28714288,18.28714288,-2.12102042,-2.12102042,-2.12102042,17.87897958,18.28714288,37.87897958,-2.12102042,17.94938776,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.3855,-1.68918367,-1.68918367,18.71897963,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.71897963,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,18.35755106,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.3865,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,17.87897958,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,-2.05061224,18.35755106,-2.05061224,-2.05061224,19.53448979,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.3875,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,17.87897958,-2.12102042,-2.05061224,18.35755106,59.17387756,-2.05061224,-2.05061224,17.94938776,-2.05061224,-2.05061224,17.94938776,-2.05061224,-0.46551021,-0.46551021,40.35081629,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.3885,18.31081633,-1.68918367,39.12714283,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,18.28714288,-2.12102042,18.28714288,-2.12102042,-2.12102042,17.87897958,-2.12102042,-2.12102042,18.28714288,-2.05061224,-2.05061224,-2.05061224,18.35755106,-2.05061224,-2.05061224,-2.05061224,18.35755106,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.3895,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.31081633,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,18.35755106,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,-2.05061224,-0.46551021,-0.46551021,19.94265309,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.3905,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,18.35755106,-2.05061224,-2.05061224,-2.05061224,-2.05061224,18.35755106,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.3915,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.31081633,-1.68918367,-0.98081632,-0.98081632,19.42734698,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,19.42734698,-2.12102042,-2.12102042,18.28714288,18.28714288,-2.12102042,-2.12102042,-2.12102042,18.28714288,37.87897958,-2.12102042,-2.05061224,-2.05061224,38.76571426,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.3925,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.71897963,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,19.94265309,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.3935,-1.68918367,-1.68918367,39.12714283,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,17.87897958,-2.12102042,-2.12102042,-2.12102042,17.87897958,-2.12102042,-2.05061224,-2.05061224,-2.05061224,18.35755106,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,-2.05061224,19.53448979,-0.46551021,-0.46551021,19.94265309,-0.46551021,19.53448979,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.3945,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.31081633,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,17.87897958,17.87897958,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.3955,-1.68918367,-1.68918367,18.71897963,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,17.87897958,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,59.17387756,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.3965,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.71897963,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,18.28714288,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,17.87897958,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.53448979,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.3975,-1.68918367,-1.68918367,18.71897963,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.71897963,18.31081633,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,18.28714288,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,18.35755106,-2.05061224,-2.05061224,17.94938776,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.3985,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.31081633,18.31081633,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,18.28714288,-2.12102042,-2.12102042,17.87897958,-2.12102042,17.87897958,18.28714288,-2.05061224,18.35755106,-2.05061224,18.35755106,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,38.76571426,-0.46551021,-0.46551021,19.94265309,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.3995,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.31081633,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,17.87897958,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,18.28714288,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.4005,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,19.42734698,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,19.01918368,-0.98081632,-2.12102042,-2.12102042,-2.12102042,18.28714288,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,40.35081629,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.4015,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,17.87897958,-2.12102042,-2.12102042,18.28714288,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.53448979,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.4025,-1.68918367,-1.68918367,18.71897963,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,19.42734698,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,18.28714288,-2.12102042,18.28714288,-2.12102042,-2.12102042,17.87897958,18.28714288,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.94265309
0.4035,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.31081633,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,17.87897958,-2.12102042,-2.12102042,18.28714288,-2.12102042,18.28714288,17.94938776,-2.05061224,18.35755106,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.53448979,-0.46551021,-0.46551021,-0.46551021
0.4045,18.31081633,18.71897963,-1.68918367,-1.68918367,18.31081633,18.31081633,-1.68918367,18.71897963,18.31081633,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,19.42734698,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,17.87897958,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,18.35755106,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.4055,-1.68918367,18.71897963,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,19.01918368,-0.98081632,19.42734698,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,18.28714288,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,18.28714288,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,19.94265309,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.4065,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,19.42734698,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,18.35755106,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.4075,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.31081633,-1.68918367,-1.68918367,-1.68918367,-0.98081632,19.42734698,-0.98081632,-0.98081632,19.01918368,-0.98081632,19.01918368,-0.98081632,-0.98081632,-0.98081632,-2.12102042,18.28714288,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,38.76571426,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.53448979,-0.46551021
0.4085,-1.68918367,-1.68918367,39.12714283,-1.68918367,-1.68918367,18.31081633,18.31081633,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,19.42734698,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,18.35755106,18.35755106,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.4095,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.71897963,-0.98081632,-0.98081632,19.42734698,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,17.87897958,-2.12102042,18.28714288,-2.12102042,-2.12102042,17.87897958,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,-2.05061224,-2.05061224,-2.05061224,-2.05061224,18.35755106,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.4105,-1.68918367,-1.68918367,-1.68918367,18.71897963,-1.68918367,-1.68918367,-1.68918367,18.71897963,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,18.28714288,-2.12102042,-2.12102042,-2.12102042,17.87897958,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,18.35755106,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,19.94265309,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
