,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f04_stimulus_6,f04_stimulus_7,f04_stimulus_8,f04_stimulus_9,f04_stimulus_10,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5,f05_stimulus_6,f05_stimulus_7,f05_stimulus_8,f05_stimulus_9,f05_stimulus_10,f06_stimulus_1,f06_stimulus_2,f06_stimulus_3,f06_stimulus_4,f06_stimulus_5,f06_stimulus_6,f06_stimulus_7,f06_stimulus_8,f06_stimulus_9,f06_stimulus_10,f07_stimulus_1,f07_stimulus_2,f07_stimulus_3,f07_stimulus_4,f07_stimulus_5,f07_stimulus_6,f07_stimulus_7,f07_stimulus_8,f07_stimulus_9,f07_stimulus_10,f08_stimulus_1,f08_stimulus_2,f08_stimulus_3,f08_stimulus_4,f08_stimulus_5,f08_stimulus_6,f08_stimulus_7,f08_stimulus_8,f08_stimulus_9,f08_stimulus_10
0.1265,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.12040816,-0.12040816,-0.12040816,19.87959184,39.87959184,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,0,0,0
0.1275,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.15020408,-0.15020408,-0.15020408,-0.15020408,39.84979592,19.84979592,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.12040816,-0.12040816,-0.12040816,-0.12040816,19.87959184,-0.12040816,-0.12040816,19.87959184,-0.12040816,19.87959184,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,0,0,0
0.1285,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.15020408,-0.15020408,-0.15020408,-0.15020408,19.84979592,-0.15020408,39.84979592,19.84979592,-0.15020408,-0.15020408,-0.12040816,-0.12040816,20.28775514,-0.12040816,-0.12040816,-0.12040816,-0.12040816,19.87959184,-0.12040816,-0.12040816,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,0,0,0
0.1295,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.15020408,-0.15020408,-0.15020408,19.84979592,-0.15020408,-0.15020408,19.84979592,-0.15020408,-0.15020408,-0.15020408,-0.12040816,-0.12040816,20.28775514,19.87959184,-0.12040816,19.87959184,19.87959184,-0.12040816,-0.12040816,-0.12040816,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,19.87979592,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,0,0,0
0.1305,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.15020408,-0.15020408,-0.15020408,39.84979592,19.84979592,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.12040816,-0.12040816,-0.12040816,-0.12040816,39.87959184,19.87959184,-0.12040816,19.87959184,-0.12040816,-0.12040816,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,0,0,0
0.1315,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.15020408,19.84979592,-0.15020408,-0.15020408,-0.15020408,-0.15020408,19.84979592,-0.15020408,19.84979592,-0.15020408,-0.12040816,-0.12040816,40.69591834,-0.12040816,-0.12040816,-0.12040816,19.87959184,-0.12040816,-0.12040816,-0.12040816,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,0,0,0
0.1325,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,19.84979592,39.84979592,-0.15020408,-0.15020408,-0.15020408,-0.12040816,-0.12040816,40.69591834,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,0,0,0
0.1335,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.12040816,-0.12040816,-0.12040816,19.87959184,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,0,0,0
0.1345,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.15020408,-0.15020408,20.25795922,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.12040816,-0.12040816,20.28775514,-0.12040816,-0.12040816,-0.12040816,19.87959184,-0.12040816,-0.12040816,-0.12040816,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,0,0,0
0.1355,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,19.87959184,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,0,0,0
0.1365,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,0,0,0
0.1375,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,19.87959184,19.87959184,-0.12040816,-0.12040816,-0.12040816,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,0,0,0
0.1385,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,0,0,0
0.1395,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12020408,-0.12020408,-0.12020408,19.87979592,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,0,0,0
0.1405,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.12040816,-0.12040816,-0.12040816,-0.12040816,19.87959184,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,0,0,0
0.1415,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.12040816,-0.12040816,-0.12040816,19.87959184,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,0,0,0
0.1425,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,0,0,0
0.1435,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.12040816,-0.12040816,20.28775514,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,0,0,0
0.1445,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.12040816,-0.12040816,-0.12040816,19.87959184,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,0,0,0
0.1455,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,0,0,0
0.1465,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,0,0,0
0.1475,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,0,0,0
0.1485,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,0,0,0
0.1495,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.67183673,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.15020408,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12040816,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.04020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.12020408,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,0,0,0
